"RolloutID","stageMapRef"
"19c766c5-82bf-4df9-a528-537953da54cd","Microsoft.Azure.SDP.Standard/0.0.10"
"7c59ce3e-728a-446c-8db6-56e3361bb40f","Microsoft.Azure.SDP.Standard/0.0.10"
"d0c61379-0ea7-451b-945b-5445171f781c","Microsoft.Azure.SDP.Standard/0.0.10"
"f89ea7ba-99d5-4f8e-9703-fe98720eb76e","Microsoft.Azure.SDP.Standard/0.0.10"
"8e6b9d8f-4657-4bab-9f95-5e67f7368922","Microsoft.Azure.SDP.Standard/0.0.10"
"88c43025-f6b5-46c9-9129-f2efe78522b7","Microsoft.Azure.SDP.Standard/0.0.10"
"9dd7d00c-b3ea-4480-bfc9-32619038615d","Microsoft.Azure.SDP.Standard/0.0.10"
"221e4c31-96fb-4237-9c88-9c7bbe8a6b6f","Microsoft.Azure.SDP.Standard/0.0.10"
"ce0ea110-e0e8-4a85-b20e-90ba64869ba9","Microsoft.Azure.ADMS.Rollout/0.1.0"
"d8c054b3-91ce-4b8d-b1b3-320ddeb43a87","Microsoft.Azure.SDP.Standard/0.0.10"
"e85f96b3-1fc2-4f4e-814d-eca12a40147e","Microsoft.Azure.SDP.Standard/0.0.10"
"a9a0413f-170b-4e04-b852-afa708f0069e","Microsoft.Azure.SDP.Standard/0.0.10"
"5baa578f-736c-4db4-9e13-e3aa4fc5b1a6","Microsoft.Azure.ADMS.Rollout/0.1.0"
"e2c0abf4-44b0-4900-a75a-719c6c882f06","Microsoft.Azure.ADMS.Rollout/0.1.0"
"666a9a50-214e-48ee-a048-722c5ccab594","Microsoft.Azure.SDP.Standard/0.0.10"
"99ecbe6c-1720-4736-adcb-64f8e2f43905","AMP PPE StageMap/1.0.0"
"2b2b2fe8-3338-48ef-bd4a-265171d9924c","Microsoft.Azure.SDP.Standard/0.0.10"
"e5407a76-332b-4981-bca0-7dde52d6fd1e","AlertsRP.RegionalRP.SDP.Standard/0.0.3"
"7e1edf10-1d3c-444a-b1b7-25876095cc1a","AlertsRP.GlobalRP.SDP.Standard/0.0.3"
"779a689b-4e3c-4712-9d7c-5d985b076c9a","Microsoft.Azure.VALS.Standard/0.0.3"
"4a528f6c-7340-4a76-a720-6c8f4424e2f8","Microsoft.Azure.VALS.Standard/0.0.3"
"8970b6de-3f3a-4d13-90f0-c14782ca82d0","Microsoft.Azure.SDP.Standard/0.0.10"
"dcb3fb84-cbb5-4c5a-90c7-f78a85c6a761","Microsoft.Azure.SDP.Standard/0.0.10"
"1e6ae886-7271-4eb4-8dfa-223f8e020829","Microsoft.Azure.SDP.Standard/0.0.10"
"93b57335-febe-4b38-8b91-1acca05023dc","Microsoft.Azure.SDP.Standard/0.0.10"
"af4fc178-527b-409d-9468-81b855042cd8","Microsoft.Azure.SDP.Standard/0.0.10"
"1e47b440-3697-422e-a6a9-09b267d9ae17","Microsoft.Azure.AzDAVS.SDP.Test/0.0.5"
"dce592f2-50c2-4cdb-847c-3ebc55e4f99f","Microsoft.Azure.SDP.Standard/0.0.10"
"a769f02f-eaf1-4648-9683-8d50fe454b77","Microsoft.Azure.SDP.Standard/0.0.10"
"00b71d06-00bc-489a-b784-ac4f9d730653","Microsoft.Azure.SDP.Standard/0.0.10"
"dc13175c-ef99-4789-8f81-6526d4e8a4f3","Microsoft.Azure.SDP.Standard/0.0.10"
"a554843f-bd6b-404b-adcd-a7c8bb11995f","Microsoft.NetworkCloud.PPE.Standard/0.0.10"
"a50c17c1-f8c0-4e70-bb65-d5f1bbf52eb6","Microsoft.Azure.SDP.Standard/0.0.10"
"44d9b8b5-ceb2-4bf9-83b9-d053b2adea46","Microsoft.Azure.SDP.Standard/0.0.10"
"4662be71-c4b8-47a4-9575-8ce5b6fa4e68","AlertsRP.RegionalRP.SDP.Standard/0.0.1"
"2827602b-f1b2-423f-8298-3d07617ca0e8","Microsoft.Azure.SDP.Standard/0.0.10"
"71d40f71-c734-4cdf-9dd6-cb135c10dd1c","Microsoft.Azure.SDP.Standard/0.0.10"
"c051389b-114d-4a59-822b-ef8ba9ccbafa","Microsoft.Azure.SDP.Standard/0.0.10"
"59867a61-9b27-471d-8c37-f2a96f512dd3","Microsoft.Azure.SDP.Standard/0.0.10"
"c36f81e1-0835-4b60-8b40-3b18c801abc2","CommunityInsiderStageMap/0.0.10"
"12f9092f-835c-4489-8054-c3b413d96383","Microsoft.CPX.DataProvider.ACPI.SDP/0.0.1"
"25241cac-a485-4dee-9a8d-532935d96951","AlertsRP.GlobalRP.SDP.Standard/0.0.2"
"d0c7fabe-9663-4fd7-87f0-db726cd4f78c","Microsoft.Azure.SDP.Standard/0.0.10"
"1647f65b-3bf8-4fb3-bb92-d52c7e768f5f","Microsoft.Azure.SDP.Standard/0.0.10"
"4847ac30-5e69-44d4-9a03-d0aff8a09d6b","Microsoft.Azure.SDP.Standard/0.0.10"
"e0e2762e-6886-4f01-9cc0-c5d022621494","Microsoft.Azure.SDP.Standard/0.0.10"
"489d7c0f-c917-4fb5-ae3c-04b10b211c95","Microsoft.Azure.SDP.Standard/0.0.10"
"683433c7-b62f-4aef-8166-ea7272ce7335","Microsoft.Azure.SDP.Standard/0.0.10"
"a236a2e1-dc7f-4298-94c9-bbd552648848","AlertsRP.GlobalRP.SDP.Standard/0.0.2"
"301231ed-ad7c-4324-8845-14f857206277","Microsoft.NetworkCloud.PPE.Standard/0.0.10"
"07ccb130-bfa6-4ea3-aecb-38cb3ac8ac6a","Microsoft.Azure.SDP.Standard/0.0.10"
"03357fd7-2d30-4575-b099-1b34335d7264","AlertsRP.RegionalRP.SDP.Standard/0.0.1"
"1ae511e5-5b72-44b2-9c15-37c13c668182","Microsoft.Azure.SDP.Standard/0.0.10"
"14316611-f4f9-43a4-b529-b6b3c771bec2","Microsoft.Azure.SDP.Standard/0.0.10"
"45714c28-9583-48d0-96b5-02d1cbc6a945","AMP PPE StageMap/1.0.0"
"77f7bb53-c2c2-491b-9309-128cf98c9fbb","Microsoft.Azure.SDP.Standard/0.0.10"
"f1a92c2c-836d-4de1-bb01-11a6bd99e38d","Microsoft.Azure.SDP.Standard/0.0.10"
"c1d8546e-6b9b-43bf-8dce-bf5b0dea3b60","Microsoft.NetworkCloud.NonSDP/0.0.6"
"f2e68401-fddc-454f-99d1-c4799478c271","Microsoft.Azure.SDP.Standard/0.0.10"
"6220b44e-a054-4e0d-a21b-ebce5df104e9","Microsoft.NetworkCloud.NonSDP/0.0.6"
"243abae5-c9eb-4d34-a473-c5d7830c6e58","Microsoft.NetworkCloud.NonSDP/0.0.6"
"9cd54fe5-03b4-406b-8d33-f516314a4534","Microsoft.NetworkCloud.NonSDP/0.0.6"
"c2f95a2b-82f0-47cb-acf2-7ce64b1492a5","Microsoft.CPX.Infra.PROD.SDP.Standard/0.0.1"
"6b0eacbc-9976-49b3-b024-3dad998c84dc","Microsoft.Azure.SDP.Standard/0.0.10"
"b133a83b-7fad-4bd9-8907-5973202f6ff8","Microsoft.Azure.SDP.Standard/0.0.10"
"a6a6fd53-2d5b-452c-bf0c-e15750ee4e4a","Microsoft.Azure.AzDAVS.SDP.Test/0.0.5"
"47d00af7-8301-4e0a-afc3-67a57f9d6fff","Microsoft.Azure.SDP.Standard/0.0.10"
"88e94cc1-c303-4766-9103-0bb532c6e6b2","AlertsRP.GlobalRP.SDP.Standard/0.0.2"
"260cdd80-697e-473c-89d8-ae36c8711c2a","Microsoft.Azure.SDP.Standard/0.0.10"
"4396f8e3-e27b-4f35-b418-d8dd9803c89f","AlertsRP.RegionalRP.SDP.Standard/0.0.1"
"3d7b68a3-811e-45f3-915c-41f349d57b50","Microsoft.Azure.SDP.Standard/0.0.10"
"0365ff3d-e5f0-4006-9834-30b7f40f6452","Microsoft.Azure.SDP.Standard/0.0.10"
"8b149829-7e39-4bdc-b245-1aec7aa7f490","Microsoft.Observability.ASM.SDP/0.0.2"
"b2d31f0c-9c00-4c91-9bbe-40e1bba2588b","Microsoft.Azure.SDP.Standard/0.0.10"
"5cfc98b8-5e5e-4dd2-b626-7ea1ee07eec4","Microsoft.Azure.SDP.Standard/0.0.10"
"d5965bea-f843-4d2c-8da2-3fd4e8b4eeb5","Microsoft.Azure.SDP.Standard/0.0.10"
"a0fc9291-dd0c-4727-98f3-54f71766ccce","AlertsRP.RegionalRP.SDP.Standard/0.0.4"
"4418b0d4-58d3-4967-9f27-258c7ad72c93","Microsoft.Azure.SDP.Standard/0.0.10"
"2051b755-ad76-474d-9210-593d518a4645","Microsoft.Azure.SDP.Standard/0.0.10"
"96f50d54-1fed-493d-b6eb-2d14f72352af","Microsoft.Azure.SDP.Standard/0.0.10"
"03b8565d-ba48-48e4-8173-5b169a1bf94f","Microsoft.Azure.SDP.Standard/0.0.10"
"b258d217-2507-4840-b96a-1813b5aa61f8","Microsoft.Azure.SDP.Standard/0.0.10"
"65e94d64-bbb2-4b0d-93b0-55bbda92c8ed","Microsoft.Azure.SDP.Standard/0.0.10"
"9d128d11-7830-44c5-aa30-49bf82fc4774","Microsoft.Azure.SDP.Standard/0.0.10"
"6c0d9e81-5a50-43ee-b16d-30fe04f39d43","Microsoft.Azure.SDP.Standard/0.0.10"
"c748369d-2b97-49ba-a4b3-415330c5ac02","Microsoft.Azure.SDP.Standard/0.0.10"
"9ee867ae-26e8-4d16-a261-e0d215b85d6e","Microsoft.Azure.SDP.Standard/0.0.10"
"ef14f109-2308-4d85-9e29-097c959acec4","Microsoft.Azure.SDP.Standard/0.0.10"
"eff67b37-a31d-4cc5-9134-d3c444f3bd23","Microsoft.Azure.SDP.Standard/0.0.10"
"1735edc8-2cd0-48e8-8e75-44a04e3e6998","Microsoft.Azure.SDP.Standard/0.0.10"
"8d9c22cc-271b-40bc-8d7b-dc6eec74f8b4","Microsoft.Azure.SDP.Standard/0.0.10"
"4efb4785-526c-4bac-ae83-aeb71205da3c","Microsoft.Azure.SDP.Standard/0.0.10"
"5ab3e307-d46e-4890-a118-55f0da51b7de","Microsoft.Azure.SDP.Standard/0.0.10"
"9c554b0f-2399-4e9a-be26-7e9822036a5c","Microsoft.Azure.SDP.Standard/0.0.10"
"fa8435b0-3674-40a9-8cc1-d39d3e495b6b","Microsoft.Azure.SDP.Standard/0.0.10"
"0f63139e-f6bb-4167-9d1e-5eb866a5d0c8","AlertsRP.RegionalRP.SDP.Standard/0.0.3"
"fe45ca2b-f0ed-4511-9822-b875a75a90bb","AlertsRP.RegionalRP.SDP.Standard/0.0.1"
"e86da8c0-ce4b-4822-83ba-8224919be984","AlertsRP.GlobalRP.SDP.Standard/0.0.3"
"f71de0a2-dbc0-4dcc-911a-e3ac45dc65c4","Microsoft.Azure.SDP.Standard/0.0.10"
"ec3c288f-a704-4d5a-9592-bfa4c4512ca0","Microsoft.Azure.SDP.Standard/0.0.10"
"893587ef-6a9d-4d26-8d04-3798dc8168b1","AlertsRP.GlobalRP.SDP.Standard/0.0.2"
"85ba8b3b-92e6-4d2b-96a4-c3b61b75508b","Microsoft.Azure.SDP.Standard/0.0.10"
"ea99326e-bc0c-4e81-89b3-c13f5d32ac14","Microsoft.Azure.SDP.Standard/0.0.10"
"de03b393-caf8-4ed2-aafd-ad9b1f5f1848","Microsoft.Azure.Medeina.Api.StageMap/0.1.7"
"c6c75e41-b35c-40e4-ba67-544db862fa20","Microsoft.Azure.SDP.Standard/0.0.10"
"c8f6c316-217b-454f-a2c1-0ef90d1dd3ac","Microsoft.Azure.SDP.Standard/0.0.10"
"f33eee4b-84ca-4726-a459-a32802cf2a80","Microsoft.Azure.SDP.Standard/0.0.10"
